beer_name,brewery,style,abv,ibu,comment,rating,brewery_city,brewery_state
Velvet ESB,Hopworks Urban Brewery,Extra Special / Strong Bitter,5.2,30,,4,Portland,OR
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,,4,Portland,OR
Survival Stout,Hopworks Urban Brewery,Stout - Other,5.8,35,,4.5,Portland,OR
Deluxe Organic Ale (DOA),Hopworks Urban Brewery,Strong Ale - American,7,0,,3.5,Portland,OR
Rise Up Red,Hopworks Urban Brewery,Red Ale - American Amber / Red,6.1,65,,4,Portland,OR
Gear Up IPA,Hopworks Urban Brewery,IPA - American,6.6,76,,3.75,Portland,OR
Zesty Lass Grapefruit IPA,Three Mugs Brewing Company,IPA - American,7.8,51,,3.75,Hillsboro,OR
Northern Rebellion,Three Mugs Brewing Company,Brown Ale - English,4,15,,4,Hillsboro,OR
Sinfully Yours - Cask,Three Mugs Brewing Company,Porter - Imperial / Double,9.3,0,,0.5,Hillsboro,OR
Fiery Wench,Three Mugs Brewing Company,Red Ale - Imperial / Double,9,85,Isn't this a Belgian?,3,Hillsboro,OR
Cinnamon Toast Ale,Three Mugs Brewing Company,Winter Warmer,7.1,17,,3.25,Hillsboro,OR
Mo' Honey Ale,Three Mugs Brewing Company,Golden Ale,6.9,33,,3.25,Hillsboro,OR
Briney Melon Gose,Anderson Valley Brewing Company,Gose,4.2,0,A little more melon would be nice,3.75,Boonville,CA
Grapefruit Rustler,Payette Brewing Co.,IPA - American,6.2,65,,2.5,Garden City,ID
Easy Jack,Firestone Walker Brewing Company,IPA - Session / India Session Ale,4.5,47,,4.25,Paso Robles,CA
Something Brown,Gigantic Brewing Company,Brown Ale - American,4.5,18,Lacks flavor,3,Portland,OR
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,Interesting on nitro,4,Portland,OR
Simian Stout,Fort George Brewery,Stout - Other,7.1,0,Subtle banana.  Not too bad,3.75,Astoria,OR
E-Ticket Chocolate Raspberry Porter,Vertigo Brewing,Fruit Beer,4.8,35,,4.25,Hillsboro,OR
Indra Kunindra,Ballast Point Brewing & Spirits,Stout - Foreign / Export,7,50,,4,San Diego,CA
Cafe Baltika,Deschutes Brewery,Porter - Baltic,6.8,0,Big coffee and chocolate flavors.  Barely tastes like beer,4.25,Bend,OR
Oort Imperial Stout,Ecliptic Brewing,Stout - Other,8.5,72,,4.25,Portland,OR
Orbiter IPA,Ecliptic Brewing,IPA - American,7.4,75,,4.25,Portland,OR
XPEC 44 Peach Sour Ale,Ecliptic Brewing,Sour Ale,5.5,10,,4.25,Portland,OR
Deimos,Backlash Beer Company,IPA - Imperial / Double,9,0,,4.25,Holyoke,MA
Orange Giant Barleywine ,Ecliptic Brewing,Barleywine - American,12.5,12,,4.25,Portland,OR
Pegasus ESB,Ecliptic Brewing,Extra Special / Strong Bitter,5.8,38,,4,Portland,OR
Zenith Grapefruit Gose,Ecliptic Brewing,Gose,4.5,10,,3,Portland,OR
Notorious IPA³,Boneyard Beer Company,IPA - Triple,11.8,80,Huge flavors but still impressively smooth,4.25,Bend,OR
20th Anniversary Encore Series: Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,Stone Brewing,Stout - Imperial Oatmeal,9.2,55,Big meal in a snifter,4.25,Escondido,CA
Breakside IPA,Breakside Brewery,IPA - American,6.8,70,,4.25,Portland,OR
Lunch Break ISA,Breakside Brewery,IPA - Session / India Session Ale,4.7,28,Solid session,3.75,Portland,OR
Wanderlust IPA,Breakside Brewery,IPA - American,6.7,50,,4.25,Portland,OR
Stout,Breakside Brewery,Stout - Foreign / Export,7,40,,4,Portland,OR
Vienna Coffee OG Cold Brew,Breakside Brewery,Lager - Pale,6.1,30,Non-Porter coffee beers are funky,3.5,Portland,OR
Last Roman,Breakside Brewery,Strong Ale - American,5.2,27,They say it's jammy and I agree,4.25,Portland,OR
Rye Curious?,Breakside Brewery,Red Ale - American Amber / Red,5.7,15,,3.5,Portland,OR
Apocalypse IPA,10 Barrel Brewing Company,IPA - American,6.8,70,,4,Bend,OR
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,,4.75,San Diego,CA
He-Man Imperial Stout,Arch Rock Brewing Company,Stout - Imperial / Double,9.5,0,,3.75,Gold Beach,OR
Black Marlin Porter,Ballast Point Brewing & Spirits,Porter - American,6,42,,4,San Diego,CA
Peppermint Victory At Sea,Ballast Point Brewing & Spirits,Porter - Imperial / Double,10,60,,4,San Diego,CA
Cold Press Coffee Porter,Everybody's Brewing,Porter - American,5.4,45,"Good, but there are better coffee porters out there",3.75,White Salmon,WA
Cranny Granny,D's Wicked Cider,Cider,6.5,0,,4.25,Kennewick,WA
Watermelon Dorado,Ballast Point Brewing & Spirits,IPA - Imperial / Double,10,90,Funky but good.  Big hoppy taste up front with watermelon end notes.,4.25,San Diego,CA
IPA,Pfriem Family Brewers,IPA - American,7.2,65,"Wow, this is an excellent IPA.  Gonna have to look into more from this brewery.",4.5,Hood River,OR
Mango Even Keel,Ballast Point Brewing & Spirits,IPA - Session / India Session Ale,3.8,40,By far the best beer I have ever had under 4% ABV.  Really nice mango flavor.  The transition to the mango finish is a little funky though.,4,San Diego,CA
IPA,Caldera Brewing Company,IPA - American,6.1,94,,3.75,Ashland,OR
Stone Delicious IPA,Stone Brewing,IPA - American,7.7,80,,4.25,Escondido,CA
Racer 5 IPA®,Bear Republic Brewing Co.,IPA - American,7.5,75,Tasty,4.5,Healdsburg,CA
Wrath,Reverend Nat's Hard Cider,Cider,8.5,0,This is not good.  Spicy booze.  Gross.,0.25,Portland,OR
2015 Stone CHAI-SPICED Imperial Russian Stout,Stone Brewing,Stout - Russian Imperial,10.6,65,"Ew, what is that flavor at the end?",1,Escondido,CA
Anthem Hops,Wandering Aengus Ciderworks,Cider,5.5,10,,3.5,Salem,OR
Pumpkin Spice,Seattle Cider Company,Cider,6.9,0,Yummy,4.25,Seattle,WA
Sour Cherry,Red Tank Cider ,Cider,5.4,0,,4.25,Bend,OR
Anthem Pear,Wandering Aengus Ciderworks,Perry,5.5,0,,3.25,Salem,OR
Brown Ale,Kirkland Signature,Brown Ale - English,5,23,,3,San Jose,CA
Dark Hyde,10 Barrel Brewing Company,IPA - Imperial / Double Black,7.3,89,Great smooth CDA.,4.25,Bend,OR
Double Stuff Stout,10 Barrel Brewing Company,Stout - Milk / Sweet,6.5,28,Chocolatey goodness,4.75,Bend,OR
Prohibition Pauly Porter,Fat Head's Brewery,Porter - American,5.8,0,,4,North Olmsted,OH
Lux,Ninkasi Brewing Company,Lager - Helles,5,20,,4,Eugene,OR
Hop Heaven,Columbia River Brewing ,IPA - American,7.5,78,,3.5,Portland,OR
Boom Boom Espresso Stout,Columbia River Brewing ,Stout - American,7,34,,4.25,Portland,OR
Paddler's Porter,Columbia River Brewing ,Porter - Baltic,8.5,37,,4.5,Portland,OR
War Elephant,Columbia River Brewing ,IPA - Imperial / Double,8.5,85,,4.25,Portland,OR
Stumblers Stout,Columbia River Brewing ,Stout - Oatmeal,6.5,34,,3.5,Portland,OR
Confluence IPA,Columbia River Brewing ,IPA - American,7.2,71,,3.5,Portland,OR
Barrel Aged Stout,Columbia River Brewing ,Stout - American,7,34,,3,Portland,OR
CRB Pale,Columbia River Brewing ,Pale Ale - American,6.7,52,,3.25,Portland,OR
Sandy Blonde,Columbia River Brewing ,Blonde Ale,6,24,,3,Portland,OR
Heady Topper,The Alchemist,IPA - Imperial / Double,8,100,"Wow, that's the best IPA I think I will ever have.  I guess that's why it is always rated in the top 5 in the world.",5,Waterbury,VT
Organic Portland Roast Espresso Stout,Laurelwood Brewing Co.,Stout - American,6.4,30,Roasty and delicious,4.5,Portland,OR
Spring Reign,Ninkasi Brewing Company,Pale Ale - American,6,38,Meh,2.75,Eugene,OR
Hoppy Blonde,New Belgium Brewing Company,Blonde Ale,5.7,45,,3.75,Fort Collins,CO
Skunkape IRA,Boneyard Beer Company,Red Ale - American Amber / Red,6.2,40,,4,Bend,OR
Passion Fruit Cider,Portland Cider Company,Cider,6.7,0,,4,Clackamas,OR
Well Red IRA,Ex Novo Brewing,Red Ale - Imperial / Double,7.1,60,Big hops with subtle malty red,4,Portland,OR
The Loving Cup,Coalition Brewing Co.,Porter - Other,5.8,32,Lacking flavor,3,Portland,OR
Moonlight Ride Blackberry,Rusty Truck Brewing,Fruit Beer,5.3,20,,3.5,Lincoln City,OR
Barmy Ale,Ballast Point Brewing & Spirits,Fruit Beer,12,23,Too much fake fruity flavor up front,2.75,San Diego,CA
Sextant,Ballast Point Brewing & Spirits,Stout - Oatmeal,6,24,Creamy and great on nitro,4.25,San Diego,CA
Hard Orange Cream Ale,Coney Island Brewing Company,Cream Ale,5,0,A little too sweet but excellent idea,4.25,Brooklyn,NY
Viking Blod,Dansk Mjød,Mead,19,0,,4.25,Billund,
Dino S'mores,Off Color Brewing,Stout - Russian Imperial,10.5,40,,4,Chicago,IL
Salted Caramel Porter,Cascade Lakes Brewing Company,Porter - Other,5.8,37,,4.5,Redmond,OR
Midnight Black Gose,Ex Novo Brewing,Gose,5,8,,4.25,Portland,OR
IBUsive,Fat Head's Brewery,IPA - American,7.4,80,,4.25,North Olmsted,OH
Sharp Cherry,Jester & Judge,Cider,5.8,0,,3.5,Stevenson,WA
Two Hearted Ale,Bell's Brewery,IPA - American,7,0,,4.75,Galesburg,MI
Quilmes Cristal,Cervecería y Maltería Quilmes,Lager - North American Adjunct,4.9,0,,3,Quilmes,Buenos Aires
Lager ,Omission Beer,Gluten-Free,4.6,20,,3.5,Portland,OR
20th Anniversary Encore Series: Stone 6th Anniversary Porter,Stone Brewing,Smoked Beer,8,60,Big time smokiness,3.25,Escondido,CA
Conifer Ipa,Waltz Brewing,IPA - American,6.2,0,IPA season is here!,4.25,Forest Grove,OR
BrightCider,2 Towns Ciderhouse,Cider,6,0,,3.75,Corvallis,OR
Sorta Sweet,Portland Cider Company,Cider,4.5,0,Stellar,4.5,Clackamas,OR
Rosen' Berry,Fox-Tail Cider,Cider,6.4,0,,4,Hood River,OR
Hard Apple Cider,Atlas Cider Company,Cider,5.8,0,,3.5,Bend,OR
Heavy Melon,New Belgium Brewing Company,Fruit Beer,5,14,Not terrible but really lacking on fruit flavor,3,Fort Collins,CO
India Golden Ale,Breakside Brewery,IPA - Imperial / Double,8.1,80,In a bomber,4.5,Portland,OR
Blue Paddle,New Belgium Brewing Company,Pilsner - Czech,4.8,33,Pretty good for a pilsener,3.25,Fort Collins,CO
Ace Apple Honey Cider,Ace Cider (The California Cider Company),Cider,5,0,,3.25,Sebastopol,CA
Eliot IPA,Ex Novo Brewing,IPA - American,6.6,50,Solid,4,Portland,OR
Vader Black IPA,Gilgamesh Brewing,IPA - Black / Cascadian Dark Ale,6.4,60,"A little weird with the coffee addition, but not pretty good for a funky mix",3.75,Salem,OR
Cosmic Ristretto,Green Flash Brewing Company,Porter - Baltic,8.2,45,Roasty with bold coffee taste and a subtle nutty flavor,4.25,San Diego,CA
Supplication,Russian River Brewing Company,American Wild Ale,7.75,0,Excellent sour,4.25,Santa Rosa,CA
Mamba,Gilgamesh Brewing,Herbed / Spiced Beer,6.3,0,Weird tea and herbal flavors but kinda good,3,Salem,OR
Pinnapple Express,Jester & Judge,Cider,5.6,0,Even better than the one from Ace!  Not too sweet. Just right.,4.75,Stevenson,WA
Romantic Chemistry,Dogfish Head Craft Brewery,IPA - American,7.2,40,,4,Milton,DE
